Model,RPS,SLO
lenet,15,80,
googlenet,25,60,
resnet50,30,100,
ssd-mobilenetv1,20,90,
vgg16,35,120,
densenet161,18,70,
mobilenet_v2,22,85,
mnasnet1_0,28,95,
bert,12,140,
lenet,40,65,
googlenet,18,55,
resnet50,25,105,
ssd-mobilenetv1,32,88,
vgg16,20,115,
densenet161,28,75,
mobilenet_v2,35,80,
mnasnet1_0,15,100,
bert,45,135,
lenet,22,70,
googlenet,30,58,
resnet50,38,110,
ssd-mobilenetv1,25,92,
vgg16,15,125,
densenet161,33,78,
mobilenet_v2,28,82,
mnasnet1_0,20,98,
bert,18,145,
lenet,35,68,
googlenet,42,62,
resnet50,28,102,
ssd-mobilenetv1,38,86,
vgg16,25,118,
densenet161,40,73,
mobilenet_v2,32,88,
mnasnet1_0,25,96,
bert,22,138,
lenet,48,72,
googlenet,35,56,
resnet50,45,108,
ssd-mobilenetv1,30,90,
vgg16,40,122,
densenet161,25,76,
mobilenet_v2,38,84,
mnasnet1_0,35,94,
bert,28,142,
lenet,30,75,
googlenet,45,60,
resnet50,50,106,
ssd-mobilenetv1,42,88,
vgg16,35,120,
